stage,stage_index,status,run_name,run_dir,elapsed_sec,test_acc,test_macro_f1,best_epoch,best_score,epochs,seed,lr,weight_decay,batch_size,classifier_hidden,classifier_dropout,command,transformer_d_model,transformer_nhead,transformer_layers,transformer_ff_dim,transformer_dropout
A,1,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm64_nh8_l4_ff128_do0.2_ep80_lr0.0003_wd1e-05_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm64_nh8_l4_ff128_do0.2_ep80_lr0.0003_wd1e-05_bs64_seed183,11.77,0.8482999999999999,0.80583,11,1.0,80,183,0.0003,1e-05,64,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 1e-05 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --transformer-d-model 64 --transformer-nhead 8 --transformer-layers 4 --transformer-ff-dim 128 --transformer-dropout 0.2,64,8,4,128,0.2
A,2,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm64_nh4_l4_ff256_do0.1_ep80_lr0.0001_wd1e-05_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm64_nh4_l4_ff256_do0.1_ep80_lr0.0001_wd1e-05_bs64_seed183,12.09,0.8482999999999999,0.797922,12,1.0,80,183,0.0001,1e-05,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 1e-05 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --transformer-d-model 64 --transformer-nhead 4 --transformer-layers 4 --transformer-ff-dim 256 --transformer-dropout 0.1,64,4,4,256,0.1
A,3,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm64_nh8_l2_ff128_do0.2_ep80_lr0.0002_wd0.0005_bs128_seed100,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm64_nh8_l2_ff128_do0.2_ep80_lr0.0002_wd0.0005_bs128_seed100,8.65,0.8652,0.824715,22,1.0,80,100,0.0002,0.0005,128,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0005 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --transformer-d-model 64 --transformer-nhead 8 --transformer-layers 2 --transformer-ff-dim 128 --transformer-dropout 0.2,64,8,2,128,0.2
A,4,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm96_nh4_l4_ff128_do0.1_ep80_lr0.0005_wd0.0002_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm96_nh4_l4_ff128_do0.1_ep80_lr0.0005_wd0.0002_bs64_seed183,10.25,0.8511,0.816522,11,1.0,80,183,0.0005,0.0002,64,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 64 --lr 0.0005 --weight-decay 0.0002 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --transformer-d-model 96 --transformer-nhead 4 --transformer-layers 4 --transformer-ff-dim 128 --transformer-dropout 0.1,96,4,4,128,0.1
A,5,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh4_l2_ff256_do0.2_ep80_lr0.0005_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh4_l2_ff256_do0.2_ep80_lr0.0005_wd0.0001_bs128_seed77,5.59,0.8371,0.776404,2,0.994277,80,77,0.0005,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --transformer-d-model 128 --transformer-nhead 4 --transformer-layers 2 --transformer-ff-dim 256 --transformer-dropout 0.2,128,4,2,256,0.2
A,6,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh8_l2_ff256_do0.1_ep80_lr0.0003_wd1e-05_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh8_l2_ff256_do0.1_ep80_lr0.0003_wd1e-05_bs64_seed183,8.78,0.8287,0.77562,7,1.0,80,183,0.0003,1e-05,64,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 1e-05 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --transformer-d-model 128 --transformer-nhead 8 --transformer-layers 2 --transformer-ff-dim 256 --transformer-dropout 0.1,128,8,2,256,0.1
A,7,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh4_l2_ff256_do0.1_ep80_lr0.0003_wd0.0001_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh4_l2_ff256_do0.1_ep80_lr0.0003_wd0.0001_bs128_seed183,6.32,0.8006,0.737853,8,1.0,80,183,0.0003,0.0001,128,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 128 --lr 0.0003 --weight-decay 0.0001 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --transformer-d-model 128 --transformer-nhead 4 --transformer-layers 2 --transformer-ff-dim 256 --transformer-dropout 0.1,128,4,2,256,0.1
A,8,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm96_nh4_l4_ff128_do0.1_ep80_lr0.0001_wd1e-05_bs64_seed14,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm96_nh4_l4_ff128_do0.1_ep80_lr0.0001_wd1e-05_bs64_seed14,12.86,0.8371,0.79635,16,1.0,80,14,0.0001,1e-05,64,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 1e-05 --seed 14 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --transformer-d-model 96 --transformer-nhead 4 --transformer-layers 4 --transformer-ff-dim 128 --transformer-dropout 0.1,96,4,4,128,0.1
A,9,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh4_l4_ff256_do0.1_ep80_lr0.0005_wd0.0005_bs128_seed42,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh4_l4_ff256_do0.1_ep80_lr0.0005_wd0.0005_bs128_seed42,8.09,0.7865000000000001,0.725372,15,1.0,80,42,0.0005,0.0005,128,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 0.0005 --seed 42 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --transformer-d-model 128 --transformer-nhead 4 --transformer-layers 4 --transformer-ff-dim 256 --transformer-dropout 0.1,128,4,4,256,0.1
A,10,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh8_l4_ff256_do0.3_ep80_lr0.0003_wd0.0002_bs64_seed100,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh8_l4_ff256_do0.3_ep80_lr0.0003_wd0.0002_bs64_seed100,11.71,0.8539,0.805761,11,1.0,80,100,0.0003,0.0002,64,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 0.0002 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --transformer-d-model 128 --transformer-nhead 8 --transformer-layers 4 --transformer-ff-dim 256 --transformer-dropout 0.3,128,8,4,256,0.3
A,11,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh8_l4_ff256_do0.2_ep80_lr0.0002_wd1e-05_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh8_l4_ff256_do0.2_ep80_lr0.0002_wd1e-05_bs64_seed183,11.02,0.809,0.748282,9,1.0,80,183,0.0002,1e-05,64,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 1e-05 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --transformer-d-model 128 --transformer-nhead 8 --transformer-layers 4 --transformer-ff-dim 256 --transformer-dropout 0.2,128,8,4,256,0.2
A,12,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm96_nh4_l2_ff128_do0.2_ep80_lr0.0002_wd0.0001_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm96_nh4_l2_ff128_do0.2_ep80_lr0.0002_wd0.0001_bs64_seed183,12.08,0.8482999999999999,0.809943,21,1.0,80,183,0.0002,0.0001,64,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0001 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --transformer-d-model 96 --transformer-nhead 4 --transformer-layers 2 --transformer-ff-dim 128 --transformer-dropout 0.2,96,4,2,128,0.2
A,13,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh8_l2_ff128_do0.1_ep80_lr0.0003_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh8_l2_ff128_do0.1_ep80_lr0.0003_wd0.0001_bs128_seed77,7.19,0.7948999999999999,0.735836,16,1.0,80,77,0.0003,0.0001,128,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 128 --lr 0.0003 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --transformer-d-model 128 --transformer-nhead 8 --transformer-layers 2 --transformer-ff-dim 128 --transformer-dropout 0.1,128,8,2,128,0.1
A,14,success,transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh4_l3_ff128_do0.1_ep80_lr0.0002_wd0.0001_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/transformer/transformer_weld_seam_windows_ws5_tf75_pg0_h1_dm128_nh4_l3_ff128_do0.1_ep80_lr0.0002_wd0.0001_bs128_seed183,7.57,0.7893000000000001,0.721203,13,1.0,80,183,0.0002,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/transformer --model transformer --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0001 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --transformer-d-model 128 --transformer-nhead 4 --transformer-layers 3 --transformer-ff-dim 128 --transformer-dropout 0.1,128,4,3,128,0.1
