stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,freeze_teacher_epochs,temperature,lambda_ce,lambda_kd,lambda_feat,lr_teacher,lr_student,weight_decay,student_tcn_layers,student_tcn_dropout,student_classifier_hidden,student_classifier_dropout,student_attn_dropout,student_attn_ff_dim,student_tcn_dilation_base,run_dir,status,elapsed_sec,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage1,s1_l4_o3_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4_o3_c0,0,2.5,0.9,1.1,0.0,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4_o3_c0/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0002_lrs0.0003_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.52,0.9634999999999999,0.949576,0.9551000000000001,3,0.963483,True
stage1,s1_l4_o3_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4_o3_c7,0,2.5,0.9,1.1,0.0,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4_o3_c7/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0002_lrs0.0003_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.12,0.9634999999999999,0.949576,0.9551000000000001,3,0.963483,True
stage1,s1_l4p_o1_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o1_c0,0,2.0,0.9,1.2,0.1,0.0001,0.0002,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o1_c0/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0002_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed14,success,7.85,0.9634999999999999,0.949576,0.9579000000000001,4,0.963483,True
stage1,s1_l4p_o1_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o1_c7,0,2.0,0.9,1.2,0.1,0.0001,0.0002,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o1_c7/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0002_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed14,success,7.74,0.9634999999999999,0.949576,0.9579000000000001,4,0.963483,True
stage1,s1_l4p_o2_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o2_c0,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o2_c0/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed14,success,7.03,0.9691,0.953997,0.9606999999999999,3,0.969101,True
stage1,s1_l4p_o2_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o2_c7,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o2_c7/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed14,success,7.12,0.9691,0.953997,0.9606999999999999,3,0.969101,True
stage1,s1_l4p_o3_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o3_c0,0,2.0,0.9,1.2,0.1,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o3_c0/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0002_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed14,success,7.66,0.9691,0.953997,0.9606999999999999,3,0.969101,True
stage1,s1_l4p_o3_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o3_c7,0,2.0,0.9,1.2,0.1,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l4p_o3_c7/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0002_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed14,success,7.46,0.9691,0.953997,0.9606999999999999,3,0.969101,True
stage1,s1_l3_o1_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o1_c0,0,3.0,0.8,1.1,0.0,0.0001,0.0002,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o1_c0/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0002_bs128_T3.0_lce0.8_lkd1.1_lf0.0_seed14,success,7.19,0.9662999999999999,0.95248,0.9606999999999999,4,0.966292,True
stage1,s1_l3_o1_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o1_c7,0,3.0,0.8,1.1,0.0,0.0001,0.0002,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o1_c7/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0002_bs128_T3.0_lce0.8_lkd1.1_lf0.0_seed14,success,7.23,0.9662999999999999,0.95248,0.9606999999999999,4,0.966292,True
