stage,stage_index,status,run_name,run_dir,elapsed_sec,test_acc,test_macro_f1,best_epoch,best_score,epochs,seed,lr,weight_decay,batch_size,classifier_hidden,classifier_dropout,command,rnn_hidden_size,rnn_layers,rnn_dropout,rnn_bidirectional
seed_eval,3,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.1_ep80_lr0.0002_wd0.0002_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.1_ep80_lr0.0002_wd0.0002_bs64_seed183,9.86,0.8876000000000001,0.859723,12,1.0,80,183,0.0002,0.0002,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0002 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --rnn-hidden-size 64 --rnn-layers 3 --rnn-dropout 0.1 --rnn-bidirectional,64,3,0.1,True
A,12,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.1_ep80_lr0.0002_wd0.0002_bs64_seed77,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.1_ep80_lr0.0002_wd0.0002_bs64_seed77,8.89,0.8792,0.837506,9,1.0,80,77,0.0002,0.0002,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0002 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --rnn-hidden-size 64 --rnn-layers 3 --rnn-dropout 0.1 --rnn-bidirectional,64,3,0.1,True
B,6,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h128_l1_bi_do0.1_ep80_lr0.0005_wd0.0002_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h128_l1_bi_do0.1_ep80_lr0.0005_wd0.0002_bs128_seed122,6.8,0.8708,0.830325,18,1.0,80,122,0.0005,0.0002,128,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 0.0002 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --rnn-hidden-size 128 --rnn-layers 1 --rnn-dropout 0.1 --rnn-bidirectional,128,1,0.1,True
A,5,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_bi_do0.1_ep80_lr0.0003_wd0.0005_bs64_seed122,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_bi_do0.1_ep80_lr0.0003_wd0.0005_bs64_seed122,9.64,0.8652,0.829425,12,1.0,80,122,0.0003,0.0005,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 0.0005 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --rnn-hidden-size 128 --rnn-layers 2 --rnn-dropout 0.1 --rnn-bidirectional,128,2,0.1,True
A,13,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_uni_do0.2_ep80_lr0.0002_wd0.0005_bs128_seed100,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_uni_do0.2_ep80_lr0.0002_wd0.0005_bs128_seed100,7.07,0.8652,0.822585,20,1.0,80,100,0.0002,0.0005,128,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0005 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --rnn-hidden-size 128 --rnn-layers 2 --rnn-dropout 0.2 --no-rnn-bidirectional,128,2,0.2,False
A,15,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h96_l3_bi_do0.3_ep80_lr0.0002_wd0.0002_bs128_seed100,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h96_l3_bi_do0.3_ep80_lr0.0002_wd0.0002_bs128_seed100,7.03,0.8623999999999999,0.814291,16,1.0,80,100,0.0002,0.0002,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0002 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 96 --rnn-layers 3 --rnn-dropout 0.3 --rnn-bidirectional,96,3,0.3,True
A,8,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.1_ep80_lr0.0002_wd0.0001_bs64_seed100,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.1_ep80_lr0.0002_wd0.0001_bs64_seed100,11.45,0.8623999999999999,0.81138,26,1.0,80,100,0.0002,0.0001,64,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0001 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 96 --rnn-layers 1 --rnn-dropout 0.1 --rnn-bidirectional,96,1,0.1,True
A,2,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.2_ep80_lr0.0001_wd0.0005_bs64_seed100,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_bi_do0.2_ep80_lr0.0001_wd0.0005_bs64_seed100,16.7,0.8595999999999999,0.808215,53,0.991859,80,100,0.0001,0.0005,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 0.0005 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --rnn-hidden-size 96 --rnn-layers 1 --rnn-dropout 0.2 --rnn-bidirectional,96,1,0.2,True
A,11,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_uni_do0.1_ep80_lr0.0002_wd1e-05_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h96_l1_uni_do0.1_ep80_lr0.0002_wd1e-05_bs128_seed183,7.18,0.8567,0.800285,25,0.971383,80,183,0.0002,1e-05,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 1e-05 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 96 --rnn-layers 1 --rnn-dropout 0.1 --no-rnn-bidirectional,96,1,0.1,False
A,6,success,gru_weld_seam_windows_ws5_tf75_pg0_h1_h128_l1_uni_do0.1_ep80_lr0.0002_wd0.0002_bs128_seed14,ablation_experiments/h1/results/comparison_18d_baselines/gru/gru_weld_seam_windows_ws5_tf75_pg0_h1_h128_l1_uni_do0.1_ep80_lr0.0002_wd0.0002_bs128_seed14,9.18,0.8539,0.795455,42,0.994277,80,14,0.0002,0.0002,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/gru --model gru --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0002 --seed 14 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 128 --rnn-layers 1 --rnn-dropout 0.1 --no-rnn-bidirectional,128,1,0.1,False
